
117,"Draymond Green
Power Forward |
2015-2019 (FA: 0)",25,5,"$82,000,000","$16,400,000",-
119,"Ray Allen
Shooting Guard |
2005-2009 (FA: 2010)
Originally signed w/ SEA",29,5,"$81,000,000","$16,200,000",-
120,"Mike Bibby
Point Guard |
2002-2008 (FA: 0)
Originally signed w/ SAC",-,7,"$80,983,603","$11,569,086",-
121,"Andre Iguodala
Small Forward |
2008-2013 (FA: 2013)
Originally signed w/ PHI",24,6,"$80,500,000","$13,416,667",-
122,"Gary Payton
Point Guard |
1996-2002 (FA: 2003)
Originally signed w/ SEA",27,7,"$80,327,147","$11,475,307",-
123,"Dirk Nowitzki
Power Forward |
2010-2013 (FA: 2014)",31,4,"$80,000,000","$20,000,000",-
123,"Rasheed Wallace
Power Forward |
1998-2003 (FA: 2004)
Originally signed w/ POR",23,6,"$80,000,000","$13,333,333",-
123,"Ryan Anderson
Power Forward |
2016-2019 (FA: 2020)",28,4,"$80,000,000","$20,000,000",-
123,"Reggie Jackson
Point Guard |
2015-2019 (FA: 2020)
Originally signed w/ DET",25,5,"$80,000,000","$16,000,000",-
123,"Aaron Gordon
Power Forward |
2018-2021 (FA: 2022)",22,4,"$80,000,000","$20,000,000",-
123,"Myles Turner
Center |
2019-2022 (FA: 2023)",22,4,"$80,000,000","$20,000,000",-
129,"Vince Carter
Shooting Guard |
2007-2011 (FA: 2011)
Originally signed w/ NJN",29,5,"$79,989,750","$15,997,950",-
130,"David Lee
Power Forward |
2010-2015 (FA: 2016)
Originally signed w/ NYK",27,6,"$79,537,680","$13,256,280",-
131,"Antawn Jamison
Power Forward |
2002-2007 (FA: 2008)
Originally signed w/ GSW",25,6,"$79,283,532","$13,213,922",-
132,"Paul Pierce
Small Forward |
2002-2006 (FA: 2007)",24,6,"$79,283,512","$13,213,919",-
133,"Carmelo Anthony
Small Forward |
2007-2011 (FA: 0)
Originally signed w/ DEN",22,5,"$78,899,560","$15,779,912",-
134,"James Harden
Shooting Guard |
2013-2017 (FA: 2018)",23,5,"$78,782,188","$15,756,438",-
135,"Russell Westbrook
Point Guard |
2012-2016 (FA: 2017)
Originally signed w/ OKC",23,5,"$78,595,310","$15,719,062",-
136,"Zach LaVine
Shooting Guard |
2018-2021 (FA: 2022)",23,4,"$78,000,000","$19,500,000",-
137,"Scottie Pippen
Small Forward |
1999-2002 (FA: 2003)",33,5,"$77,356,730","$15,471,346",-
138,"Eric Gordon
Shooting Guard |
2020-2023 (FA: 2024)",30,4,"$75,574,356","$18,893,589",-
139,"Yao Ming
Center |
2006-2010 (FA: 2011)",24,5,"$75,352,750","$15,070,550",-
139,"Amar'e Stoudemire
Power Forward |
2006-2009 (FA: 2010)
Originally signed w/ PHX",23,5,"$75,352,750","$15,070,550",-
141,"Carlos Boozer
Power Forward |
2010-2013 (FA: 2014)
Originally signed w/ CHI",28,5,"$75,000,000","$15,000,000",-
142,"Domantas Sabonis
Center |
2020-2023 (FA: 2024)",23,4,"$74,900,000","$18,725,000",-
143,"Allen Crabbe
Shooting Guard |
2016-2019 (FA: 2020)
Originally signed w/ POR",24,4,"$74,832,500","$18,708,125",-
144,"Chris Webber
Power Forward |
1993-2007 (FA: 2008)",20,15,"$74,400,000","$4,960,000",-
145,"Stephon Marbury
Point Guard |
2005-2008 (FA: 2009)
Originally signed w/ NYK",26,4,"$73,490,625","$18,372,656",-
145,"Allen Iverson
Point Guard |
2005-2008 (FA: 0)",28,4,"$73,490,625","$18,372,656",-
147,"Bojan Bogdanovic
Small Forward |
2019-2022 (FA: 2023)",30,4,"$73,100,000","$18,275,000",-
147,"Chris Webber
Power Forward |
1994-2005 (FA: 2006)",20,12,"$73,100,000","$6,091,667",-
149,"Erick Dampier
Center |
0-2010 (FA: 2011)
Originally signed w/ MIA",-1,7,"$73,000,000","$10,428,571",-
149,"Erick Dampier
Center |
2004-2010 (FA: 2011)
Originally signed w/ GSW",0,7,"$73,000,000","$10,428,571",-
151,"Joakim Noah
Center |
2016-2019 (FA: 2020)
Originally signed w/ NYK",31,4,"$72,590,000","$18,147,500",-
152,"Emeka Okafor
Center |
2008-2013 (FA: 2014)
Originally signed w/ NOH",25,6,"$72,000,000","$12,000,000",-
152,"Luol Deng
Small Forward |
2016-2019 (FA: 2020)
Originally signed w/ LAL",31,4,"$72,000,000","$18,000,000",-
152,"Bismack Biyombo
Center |
2016-2019 (FA: 2020)
Originally signed w/ ORL",23,4,"$72,000,000","$18,000,000",-
152,"Anfernee Hardaway
Point Guard |
1994-2002 (FA: 0)
Originally signed w/ ORL",23,9,"$72,000,000","$8,000,000",-
156,"Bradley Beal
Shooting Guard |
2021-2022 (FA: 2023)",26,2,"$71,764,430","$35,882,215",-
157,"Lamar Odom
Power Forward |
2003-2008 (FA: 2009)
Originally signed w/ MIA",23,6,"$71,723,313","$11,953,886",-
158,"Luol Deng
Small Forward |
2008-2013 (FA: 2014)
Originally signed w/ CHI",23,6,"$71,005,425","$11,834,238",-
159,"Tim Hardaway Jr.
Shooting Guard |
2017-2020 (FA: 2021)
Originally signed w/ NYK",25,4,"$70,950,000","$17,737,500",-
160,"Ray Allen
Shooting Guard |
1999-2004 (FA: 2005)
Originally signed w/ MIL",23,6,"$70,880,000","$11,813,333",-
160,"Zydrunas Ilgauskas
Center |
1999-2004 (FA: 2005)
Originally signed w/ CLE",-,6,"$70,880,000","$11,813,333",-
160,"Stephon Marbury
Point Guard |
1999-2004 (FA: 0)
Originally signed w/ NJN",21,6,"$70,880,000","$11,813,333",-
160,"Allen Iverson
Point Guard |
1999-2004 (FA: 0)",23,6,"$70,880,000","$11,813,333",-
160,"Antoine Walker
Power Forward |
1999-2004 (FA: 2005)
Originally signed w/ BOS",22,6,"$70,880,000","$11,813,333",-
165,"Dwight Howard
Center |
2016-2018 (FA: 2019)
Originally signed w/ ATL",30,3,"$70,500,000","$23,500,000",-
166,"Carlos Boozer
Power Forward |
2004-2009 (FA: 2010)
Originally signed w/ UTH",22,6,"$70,196,599","$11,699,433",-
167,"Wesley Matthews
Shooting Guard |
2015-2018 (FA: 2019)
Originally signed w/ DAL",28,4,"$70,060,026","$17,515,007",-
167,"Enes Kanter
Center |
2015-2018 (FA: 2019)
Originally signed w/ OKC",23,4,"$70,060,026","$17,515,007",-
169,"Larry Hughes
Point Guard |
2005-2009 (FA: 2010)
Originally signed w/ CLE",-,5,"$70,000,000","$14,000,000",-
169,"Evan Turner
Small Forward |
2016-2019 (FA: 2020)
Originally signed w/ POR",27,4,"$70,000,000","$17,500,000",-
169,"Eric Bledsoe
Point Guard |
2014-2018 (FA: 0)
Originally signed w/ PHX",24,5,"$70,000,000","$14,000,000",-
169,"Eric Bledsoe
Point Guard |
2019-2022 (FA: 2023)",29,4,"$70,000,000","$17,500,000",-
169,"Brandon Knight
Point Guard |
2015-2019 (FA: 2020)
Originally signed w/ PHX",23,5,"$70,000,000","$14,000,000",-
169,"Khris Middleton
Small Forward |
2015-2019 (FA: 2019)",23,5,"$70,000,000","$14,000,000",-
169,"Kent Bazemore
Shooting Guard |
2016-2019 (FA: 2020)
Originally signed w/ ATL",27,4,"$70,000,000","$17,500,000",-
169,"Dennis Schröder
Point Guard |
2017-2020 (FA: 2021)
Originally signed w/ ATL",23,4,"$70,000,000","$17,500,000",-
177,"Jason Richardson
Shooting Guard |
2005-2010 (FA: 2011)
Originally signed w/ GSW",23,6,"$69,999,993","$11,666,666",-
178,"Raef Lafrentz
Power Forward |
0-2008 (FA: 2009)",-1,7,"$69,973,750","$9,996,250",-
179,"Dirk Nowitzki
Power Forward |
2006-2009 (FA: 2010)",27,4,"$69,335,337","$17,333,834",-
180,"Klay Thompson
Shooting Guard |
2015-2018 (FA: 2019)",24,4,"$68,979,450","$17,244,863",-
181,"Brad Miller
Center |
2003-2009 (FA: 2010)
Originally signed w/ IND",-,7,"$68,000,000","$9,714,286",-
181,"Patrick Ewing
Center |
1997-2000 (FA: 2001)
Originally signed w/ NYK",34,4,"$68,000,000","$17,000,000",-
183,"Joe Johnson
Shooting Guard |
2005-2009 (FA: 2010)
Originally signed w/ PHX",23,5,"$67,441,887","$13,488,377",-
184,"Karl Malone
Power Forward |
1999-2002 (FA: 2003)
Originally signed w/ UTH",36,4,"$66,500,000","$16,625,000",-
185,"Monta Ellis
Shooting Guard |
2008-2013 (FA: 2013)
Originally signed w/ GSW",22,6,"$66,000,000","$11,000,000",-
185,"Zach Randolph
Power Forward |
2011-2014 (FA: 0)
Originally signed w/ MEM",29,4,"$66,000,000","$16,500,000",-
185,"Tony Parker
Point Guard |
2005-2010 (FA: 0)
Originally signed w/ SAS",22,6,"$66,000,000","$11,000,000",-
188,"Elton Brand
Power Forward |
2003-2007 (FA: 2008)
Originally signed w/ LAC",23,5,"$65,760,000","$13,152,000",-
189,"Steve Nash
Point Guard |
2004-2008 (FA: 2009)
Originally signed w/ PHX",30,5,"$65,625,000","$13,125,000",-
190,"DeMarcus Cousins
Center |
2014-2017 (FA: 2018)
Originally signed w/ SAC",23,4,"$65,619,700","$16,404,925",-
191,"Baron Davis
Point Guard |
2008-2012 (FA: 2011)
Originally signed w/ LAC",29,5,"$65,000,000","$13,000,000",-
191,"Dikembe Mutombo
Center |
2001-2004 (FA: 2003)
Originally signed w/ PHI",34,4,"$65,000,000","$16,250,000",-
191,"Al Jefferson
Center |
2008-2012 (FA: 2013)
Originally signed w/ MIN",22,5,"$65,000,000","$13,000,000",-
191,"LaMarcus Aldridge
Power Forward |
2010-2014 (FA: 2015)
Originally signed w/ POR",24,5,"$65,000,000","$13,000,000",-
191,"Nene Hilario
Center |
2011-2015 (FA: 2016)
Originally signed w/ DEN",28,5,"$65,000,000","$13,000,000",-
191,"Serge Ibaka
Power Forward |
2017-2019 (FA: 2020)",27,3,"$65,000,000","$21,666,667",-
197,"Samuel Dalembert
Center |
2005-2010 (FA: 2011)
Originally signed w/ PHI",19,6,"$64,876,694","$10,812,782",-
198,"Danilo Gallinari
Small Forward |
2017-2019 (FA: 2020)
Originally signed w/ DEN",28,3,"$64,762,737","$21,587,579",-
199,"Tyson Chandler
Center |
2005-2010 (FA: 2011)
Originally signed w/ CHI",22,6,"$64,350,000","$10,725,000",-
200,"Richard Hamilton
Shooting Guard |
2003-2009 (FA: 2010)
Originally signed w/ DET",25,7,"$64,312,500","$9,187,500",-
201,"Carmelo Anthony
Small Forward |
2012-2013 (FA: 2014)
Originally signed w/ NYK",27,3,"$64,166,861","$21,388,954",-
202,"Ian Mahinmi
Center |
2016-2019 (FA: 2020)",29,4,"$64,000,000","$16,000,000",-
202,"Timofey Mozgov
Center |
2016-2019 (FA: 2020)
Originally signed w/ LAL",29,4,"$64,000,000","$16,000,000",-
202,"Jonas Valanciunas
Center |
2016-2019 (FA: 2019)
Originally signed w/ TOR",23,4,"$64,000,000","$16,000,000",-
202,"Tobias Harris
Small Forward |
2015-2018 (FA: 2019)
Originally signed w/ ORL",22,4,"$64,000,000","$16,000,000",-
206,"Dejounte Murray
Point Guard |
2020-2023 (FA: 2024)",23,4,"$63,820,000","$15,955,000",-
207,"Chris Paul
Point Guard |
2009-2012 (FA: 2013)
Originally signed w/ NOH",23,4,"$63,629,415","$15,907,354",-
208,"Brook Lopez
Center |
2015-2017 (FA: 2018)
Originally signed w/ BKN",27,3,"$63,497,025","$21,165,675",-
209,"Peja Stojakovic
Small Forward |
2006-2010 (FA: 2010)
Originally signed w/ IND",-,5,"$63,280,000","$12,656,000",-
210,"Wally Szczerbiak
Small Forward |
0-0 (FA: 2009)",-1,4,"$63,000,000","$15,750,000",-
211,"Gordon Hayward
Small Forward |
2014-2017 (FA: 2018)
Originally signed w/ UTH",24,4,"$62,965,420","$15,741,355",-
212,"Vince Carter
Shooting Guard |
2002-2006 (FA: 2007)
Originally signed w/ TOR",24,5,"$62,923,438","$12,584,688",-
213,"Gorgui Dieng
Center |
2017-2020 (FA: 2021)
Originally signed w/ MIN",26,4,"$62,800,000","$15,700,000",-
214,"Tracy McGrady
Shooting Guard |
2007-2009 (FA: 2010)
Originally signed w/ HOU",25,3,"$62,624,186","$20,874,729",-
215,"Julius Randle
Power Forward |
2019-2021 (FA: 2022)",24,3,"$62,100,000","$20,700,000",-
216,"Elton Brand
Power Forward |
2008-2011 (FA: 2012)",28,4,"$61,635,140","$15,408,785",-
217,"Kevin Durant
Small Forward |
2018-2019 (FA: 2019)
Originally signed w/ GSW",29,2,"$61,500,000","$30,750,000",-
218,"Paul Pierce
Small Forward |
2010-2013 (FA: 2014)",32,4,"$61,333,334","$15,333,334",-
219,"Theo Ratliff
Center |
1998-2004 (FA: 2005)
Originally signed w/ PHI",-,7,"$61,000,000","$8,714,286",-
219,"Richard Jefferson
Small Forward |
2005-2009 (FA: 2010)
Originally signed w/ NJN",24,5,"$61,000,000","$12,200,000",-
221,"Kevin Love
Center |
2012-2014 (FA: 2015)
Originally signed w/ MIN",23,4,"$60,825,938","$15,206,485",-
221,"Brook Lopez
Center |
2012-2014 (FA: 2015)
Originally signed w/ BKN",24,4,"$60,825,938","$15,206,485",-
223,"LeBron James
Small Forward |
2007-2010 (FA: 2010)
Originally signed w/ CLE",22,4,"$60,380,987","$15,095,247",-
224,"Paul Millsap
Power Forward |
2015-2017 (FA: 2018)
Originally signed w/ ATL",30,3,"$60,216,100","$20,072,033",-
225,"Al Horford
Center |
2011-2015 (FA: 2016)
Originally signed w/ ATL",24,5,"$60,000,000","$12,000,000",-
225,"Joakim Noah
Center |
2011-2015 (FA: 2016)
Originally signed w/ CHI",25,5,"$60,000,000","$12,000,000",-
225,"Danny Granger
Small Forward |
2009-2013 (FA: 2013)
Originally signed w/ IND",25,5,"$60,000,000","$12,000,000",-
